City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Nikolskoye,RU,78.69,overcast clouds,59.7035,30.7861,Tourist House - Sablino
4,Mwense,ZM,77.65,overcast clouds,-10.3845,28.698,Mwense Council Guest House
7,Georgetown,MY,80.89,moderate rain,5.4112,100.3354,Cititel Penang
9,Puerto Escondido,MX,83.44,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
12,Souillac,MU,75.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
15,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
16,Bethel,US,81.88,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
20,Quang Ngai,VN,76.93,overcast clouds,15.1167,108.8,Central Hotel
24,Toucheng,TW,80.15,light rain,24.8592,121.8233,和風時尚VILLA會館
25,Fomboni,KM,79.86,light rain,-12.28,43.7425,Pension Paradis
28,Flic En Flac,MU,75.52,few clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
30,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
32,Gondar,ET,79.21,overcast clouds,12.6,37.4667,L Shape Hotel
34,Savannah Bight,HN,86.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
40,Coahuayana,MX,83.73,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
48,Menongue,AO,78.22,broken clouds,-14.6585,17.691,Ritz Lauca
53,Bengkulu,ID,77.05,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
63,Muros,ES,81.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao
67,Sao Filipe,CV,78.01,clear sky,14.8961,-24.4956,Hotel Xaguate
68,Nuevo Progreso,MX,81.46,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
69,Itarema,BR,86.4,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
