City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,57.04,74,23,11.65,few clouds
1,Nikolskoye,RU,59.7035,30.7861,78.69,33,88,1.19,overcast clouds
2,Ongandjera,NA,-17.8833,15.0667,76.42,16,0,9.62,clear sky
3,Iqaluit,CA,63.7506,-68.5145,31.69,89,99,8.01,overcast clouds
4,Mwense,ZM,-10.3845,28.698,77.65,45,100,7.52,overcast clouds
5,Yellowknife,CA,62.456,-114.3525,57.33,82,100,7.83,overcast clouds
6,Albany,US,42.6001,-73.9662,79.75,73,9,8.52,clear sky
7,Georgetown,MY,5.4112,100.3354,80.89,89,20,2.77,moderate rain
8,Salisbury,GB,51.0693,-1.7957,72.68,48,21,7.43,few clouds
9,Puerto Escondido,MX,15.85,-97.0667,83.44,70,100,1.5,overcast clouds
10,Dikson,RU,73.5069,80.5464,30.97,96,99,13.42,overcast clouds
11,Severo-Kurilsk,RU,50.6789,156.125,41.56,95,100,25.99,moderate rain
12,Souillac,MU,-20.5167,57.5167,75.36,75,47,9.22,scattered clouds
13,Haines Junction,CA,60.7522,-137.5108,45.7,83,86,3.33,overcast clouds
14,Vaini,TO,-21.2,-175.2,73.78,59,100,14.67,overcast clouds
15,Mahebourg,MU,-20.4081,57.7,75.25,73,19,9.93,few clouds
16,Bethel,US,41.3712,-73.414,81.88,75,35,1.01,scattered clouds
17,Antofagasta,CL,-23.65,-70.4,65.01,67,5,6.78,clear sky
18,Dalvik,IS,65.9702,-18.5286,52.7,81,96,7.25,overcast clouds
19,Beringovskiy,RU,63.05,179.3167,39.67,84,100,7.87,overcast clouds
20,Quang Ngai,VN,15.1167,108.8,76.93,90,100,7.7,overcast clouds
21,Seydi,TM,39.4816,62.9137,109.31,7,47,5.5,scattered clouds
22,Bezhanitsy,RU,56.9767,29.8907,70.97,50,100,4.16,overcast clouds
23,Lagoa,PT,39.05,-27.9833,62.58,83,0,1.86,clear sky
24,Toucheng,TW,24.8592,121.8233,80.15,96,100,1.57,light rain
25,Fomboni,KM,-12.28,43.7425,79.86,73,79,22.44,light rain
26,Iskateley,RU,67.6803,53.1512,50.4,66,100,11.86,overcast clouds
27,Requena,ES,39.4883,-1.1004,66.7,76,100,8.08,overcast clouds
28,Flic En Flac,MU,-20.2742,57.3631,75.52,73,11,10.51,few clouds
29,Pevek,RU,69.7008,170.3133,40.86,96,100,8.88,overcast clouds
30,Bambous Virieux,MU,-20.3428,57.7575,75.22,73,18,9.6,few clouds
31,Ushuaia,AR,-54.8,-68.3,29.37,91,99,1.5,overcast clouds
32,Gondar,ET,12.6,37.4667,79.21,25,87,1.99,overcast clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,74.55,87,98,5.01,overcast clouds
34,Savannah Bight,HN,16.45,-85.85,86.0,78,8,20.58,clear sky
35,Punta Arenas,CL,-53.15,-70.9167,35.11,93,28,7.81,scattered clouds
36,Zavitinsk,RU,50.1167,129.45,50.16,91,94,3.27,overcast clouds
37,Camopi,GF,3.1655,-52.3158,84.22,63,70,4.9,broken clouds
38,Vao,NC,-22.6667,167.4833,72.64,79,100,17.13,overcast clouds
39,Saint-Augustin,CA,51.226,-58.6502,49.86,83,100,10.16,overcast clouds
40,Coahuayana,MX,18.7333,-103.6833,83.73,62,99,0.54,overcast clouds
41,Portland,US,45.5234,-122.6762,58.24,72,100,3.0,overcast clouds
42,Bredasdorp,ZA,-34.5322,20.0403,69.28,58,0,4.09,clear sky
43,Akdepe,TM,42.0551,59.3788,100.4,18,0,18.61,clear sky
44,Sembakung,ID,3.8167,117.25,76.39,92,99,1.36,overcast clouds
45,Aykhal,RU,66.0,111.5,43.23,55,31,13.78,scattered clouds
46,Mataura,NZ,-46.1927,168.8643,49.48,95,64,2.15,broken clouds
47,Barrow,US,71.2906,-156.7887,30.22,93,90,10.36,fog
48,Menongue,AO,-14.6585,17.691,78.22,14,59,5.68,broken clouds
49,Torbay,CA,47.6666,-52.7314,63.75,88,100,4.0,overcast clouds
50,Sibut,CF,5.718,19.0739,77.88,74,100,2.17,overcast clouds
51,Kodiak,US,57.79,-152.4072,45.79,77,92,5.66,overcast clouds
52,Port Lincoln,AU,-34.7333,135.8667,58.12,90,50,11.77,scattered clouds
53,Bengkulu,ID,-3.8004,102.2655,77.05,90,20,3.78,few clouds
54,Tipuani,BO,-15.5648,-68.0185,76.42,76,82,1.61,broken clouds
55,Coihaique,CL,-45.5752,-72.0662,39.42,88,89,6.91,overcast clouds
56,Hvide Sande,DK,56.0045,8.1294,73.98,60,0,8.16,clear sky
